Age at First Birth ;Age of menarche
Lupus ;Raynaud syndrome
Lupus ;Photosensitivity
Lupus ;Weight loss
Lupus ;Anemia
Lupus ;Fatigue
Lupus ;Kidney failure
Lupus ;Creatinine
Lupus ;systemic lupus erythematosus
Lupus ;pericarditis
Lupus ;pleuritis
Lupus ;nephritis
Lupus ;erythematous malar rash
Lupus ;discoid rash
Lupus ;antiphospholipid antibody
Lupus ;antinuclear antibody
Lupus ;dsDNA antibody
Lupus ;complement deficiency
Major Depression ;Depression
Major Depression ;Anhedonic
Major Depression ;Pyschomotor delay
Major Depression ;Decreased energy
Major Depression ;emotional
Major Depression ;Fatigue
Major Depression ;Insomnia
Major Depression ;Suicide
Major Depression ;suicidal
Major Depression ;Weight loss
Major Depression ;Weight gain
Microalbuminuria ;Microalbumin
Microalbuminuria ;Kidney failure
Microalbuminuria ;End stage kidney disease
Microalbuminuria ;Proteinuria
Multiple Sclerosis ;defective humoral immunity
Multiple Sclerosis ;defective adaptive immunity
Multiple Sclerosis ;autoimmunity
Multiple Sclerosis ;autoantibody
Multiple Sclerosis ;immunodeficiency
Multiple Sclerosis ;immune dysregulation
Multiple Sclerosis ;immunologic hypersentivity
Multiple Sclerosis ;Axonal demyelination
Multiple Sclerosis ;Double vision
Multiple Sclerosis ;Poor muscle coordination
Multiple Sclerosis ;Neuronal plaques
Multiple Sclerosis ;Diplopia
Multiple Sclerosis ;Depression cognitive dysfunction
Multiple Sclerosis ;Spasticity
Multiple Sclerosis ;Paresthesia
Multiple Sclerosis ;Sensory loss
Multiple Sclerosis ;CSF immunoglobulins
Multiple Sclerosis ;HLA-DRB1
Multiple Sclerosis ;recurrent infection
Neuroticism ;Anxiety
Neuroticism ;Panic disorder
Neuroticism ;Depression
Neuroticism ;Neurosis
Neuroticism ;Psychiatric
Neuroticism ;Obsessive-compulsive
Neuroticism ;hyperactivity
Neuroticism ;emotional stability
Packed Cell Volume ;disseminated intravascular coagulation
Packed Cell Volume ;DIC
Packed Cell Volume ;thrombophilia
Packed Cell Volume ;splenomegaly
Packed Cell Volume ;thrombosis
Packed Cell Volume ;abnormal thrombosis
Packed Cell Volume ;abnormal bleeding
Packed Cell Volume ;megakaryocytes
Packed Cell Volume ;preeclampsia
Packed Cell Volume ;thrombotic microangiopathy
Packed Cell Volume ;asplenia
Packed Cell Volume ;INR
Packed Cell Volume ;PT
Packed Cell Volume ;prolonged bleeding
Platelet Count ;disseminated intravascular coagulation
Platelet Count ;DIC
Platelet Count ;thrombophilia
Platelet Count ;splenomegaly
Platelet Count ;thrombosis
Platelet Count ;abnormal thrombosis
Platelet Count ;abnormal bleeding
Platelet Count ;megakaryocytes
Platelet Count ;preeclampsia
Platelet Count ;thrombotic microangiopathy
Platelet Count ;asplenia
Platelet Count ;INR
Platelet Count ;PT
Platelet Count ;prolonged bleeding
Platelet Count ;epistaxis
Platelet Count ;hemarthroses
Platelet Count ;easy bruising
Platelet Count ;platelet aggregation defect
Platelet Count ;increased bleeding
Primary Biliary Cirrhosis ;Itchy
Primary Biliary Cirrhosis ;pruritis
Primary Biliary Cirrhosis ;defective humoral immunity
Primary Biliary Cirrhosis ;defective adaptive immunity
Primary Biliary Cirrhosis ;Autoimmunity
Primary Biliary Cirrhosis ;Hypocholesterolemia
Primary Biliary Cirrhosis ;autoantibody
Primary Biliary Cirrhosis ;B-cell abnormality
Primary Biliary Cirrhosis ;T-cell abnormality
Primary Biliary Cirrhosis ;immunodeficiency
Primary Biliary Cirrhosis ;immune dysregulation
Primary Biliary Cirrhosis ;immunologic hypersentivity
Primary Biliary Cirrhosis ;Autoantibodies
Primary Biliary Cirrhosis ;Bone pain
Primary Biliary Cirrhosis ;Hyperpigmentation
Primary Biliary Cirrhosis ;Xanthomas
Primary Biliary Cirrhosis ;Steatorrhea
Primary Biliary Cirrhosis ;Hypothyroidism
Primary Biliary Cirrhosis ;hypercholesterolemia
Primary Biliary Cirrhosis ;polycythemia
Primary Biliary Cirrhosis ;impaired in vitro IgG suppression
Primary Biliary Cirrhosis ;biliary cirrhosis
Primary Biliary Cirrhosis ;serum mitochondrial autoantibodies
Primary Biliary Cirrhosis ;porphyria
Red Blood Cell Count ;anemia
Red Blood Cell Count ;polycythemia
Red Blood Cell Count ;extramedullary hematopoiesis
Red Blood Cell Count ;abnormality of red blood cells
Red Blood Cell Count ;hemolysis
Red Blood Cell Count ;thalassemia
Red Blood Cell Count ;abnormal morphology
Red Blood Cell Count ;porphyria
Red Blood Cell Count ;hydrop
Resting Heart Rate ;tachycardia
Resting Heart Rate ;Bradycardia
Resting Heart Rate ;Cardiac Arrhythmia
Resting Heart Rate ;syncope
Resting Heart Rate ;Arrythmogenic
Resting Heart Rate ;Irregular heart rhythm
Resting Heart Rate ;Abnormal heart rhythm
Resting Heart Rate ;Prolonged QT
Resting Heart Rate ;Sinus bradycardia
Resting Heart Rate ;Sinus tachycardia
Resting Heart Rate ;Syncope
Resting Heart Rate ;Heart block
Resting Heart Rate ;Sudden cardiac death
Resting Heart Rate ;Atrial fibrillation
Resting Heart Rate ;Sinus node dysfunction
Resting Heart Rate ;Torsade de pointes 
Resting Heart Rate ;Sudden cardiac death
Resting Heart Rate ;Ventricular tachycardia
Rheumatoid Arthritis ;defective humoral immunity
Rheumatoid Arthritis ;defective adaptive immunity
Rheumatoid Arthritis ;autoimmunity
Rheumatoid Arthritis ;autoantibody
Rheumatoid Arthritis ;lymphoma
Rheumatoid Arthritis ;B-cell abnormality
Rheumatoid Arthritis ;T-cell abnormality
Rheumatoid Arthritis ;immunodeficiency
Rheumatoid Arthritis ;immune dysregulation
Rheumatoid Arthritis ;immunologic hypersentivity
Rheumatoid Arthritis ;joint pain
Rheumatoid Arthritis ;joint damage
Rheumatoid Arthritis ;degenerative joint disease
Rheumatoid Arthritis ;autoantibodies
Rheumatoid Arthritis ;rheumatoid arthritis
Schizophrenia ;paranoia
Schizophrenia ;paranoid delusions
Schizophrenia ;psychosis
Schizophrenia ;hallucinations
Schizophrenia ;delusions
Schizophrenia ;catatonia
Schizophrenia ;parkinsonism
Schizophrenia ;dementia
Schizophrenia ;parakinesis
Schizophrenia ;psychomotor disturbances
Schizophrenia ;neuronal pruning
Schizophrenia ;schizophrenia
Schizophrenia ;hyperactivity
Schizophrenia ;disorganized speech
Schizophrenia ;catatonic behavior
Schizophrenia ;abnormal EEG
Serum Urate Concentration ;Uric acid
Serum Urate Concentration ;Urolithiaisis
Serum Urate Concentration ;Urolithiasis
Serum Urate Concentration ;Nephrolithiasis
Serum Urate Concentration ;Uricemia
Serum Urate Concentration ;Kidney stones
Serum Urate Concentration ;Bladder stones
Serum Urate Concentration ;Arthritis
Serum Urate Concentration ;Acute pain
Serum Urate Concentration ;Crystals
Serum Urate Concentration ;Tophi
Serum Urate Concentration ;Urate nephropathy
Serum Urate Concentration ;podagra
Subjective Sense of Well-Being ;Happiness
Subjective Sense of Well-Being ;Good nature
Subjective Sense of Well-Being ;Happy
Subjective Sense of Well-Being ;Extraversion
Subjective Sense of Well-Being ;Introvert
Subjective Sense of Well-Being ;Laughter
Subjective Sense of Well-Being ;Excitable
Subjective Sense of Well-Being ;optimistic
Two-Hour Fasting Glucose ;diabetes mellitus
Two-Hour Fasting Glucose ;glucose sensitivity
Two-Hour Fasting Glucose ;ketonemia
Two-Hour Fasting Glucose ;pancreatic insufficiency
Two-Hour Fasting Glucose ;hyperglycemia
Two-Hour Fasting Glucose ;hyperglycemic
Two-Hour Fasting Glucose ;c-peptide
Two-Hour Fasting Glucose ;pancreatic hypoplasia
Two-Hour Fasting Glucose ;autoimmune
Two-Hour Fasting Glucose ;hyperinsulinemia
Two-Hour Fasting Glucose ;insulin resistance
Two-Hour Fasting Glucose ;hyperinsulinemia
Two-Hour Fasting Glucose ;insulin resistance
Two-Hour Fasting Glucose ;pancreatic hypoplasia
Two-Hour Fasting Glucose ;diabetes mellitus
Two-Hour Fasting Glucose ;pancreatic failure
Type 1 Diabetes ;diabetes mellitus
Type 1 Diabetes ;glucose sensitivity
Type 1 Diabetes ;ketonemia
Type 1 Diabetes ;pancreatic insufficiency
Type 1 Diabetes ;hyperglycemia
Type 1 Diabetes ;hyperglycemic
Type 1 Diabetes ;c-peptide
Type 1 Diabetes ;pancreatic hypoplasia
Type 1 Diabetes ;autoimmune
Type 1 Diabetes ;hyperinsulinemia
Type 1 Diabetes ;insulin resistance
Type 1 Diabetes ;hyperglycemia
Type 1 Diabetes ;polydipsia
Type 1 Diabetes ;polyphagia
Type 1 Diabetes ;ketoacidosis
Type 1 Diabetes ;polyuria
Type 1 Diabetes ;pancreatic autoimmunity
Type 1 Diabetes ;reduced pancreatic beta cells
Type 1 Diabetes ;insulin-dependent diabetes mellitus
Type 1 Diabetes ;pancreatic agenesis
Type 2 Diabetes ;Noninsulin-dependent diabetes
Type 2 Diabetes ;pancreatic abnormality
Type 2 Diabetes ;pancreatic failure
Type 2 Diabetes ;Morbid obesity
Type 2 Diabetes ;Insulin resistance
Type 2 Diabetes ;Elevated glucose
Type 2 Diabetes ;Hyperglycemia
Type 2 Diabetes ;glucosuria
Ulcerative Colitis ;gastrointestinal ulceration
Ulcerative Colitis ;growth failure
Ulcerative Colitis ;failure to thrive
Ulcerative Colitis ;arthritis
Ulcerative Colitis ;B-cell abnormality
Ulcerative Colitis ;T-cell abnormality
Ulcerative Colitis ;immunodeficiency
Ulcerative Colitis ;immune dysregulation
Ulcerative Colitis ;immunologic hypersensitivity
Ulcerative Colitis ;defective humoral immunity
Ulcerative Colitis ;autoimmunity
Ulcerative Colitis ;autoantibody
Ulcerative Colitis ;recurrent infection
Ulcerative Colitis ;intestinal ulceration
Ulcerative Colitis ;ulcerative colitis
Ulcerative Colitis ;regional enteritis
